,ref,file,ref_parsed,year,identifier
7965,"Creswell, J. W. (2013). Qualitative inquiry & research design: choosing among five approaches. CA: Sage.",import2017/101,"Creswell, J. W. (2013)",2013.0,"Creswell, J. W. (2013). Qualitative inquiry & research design: choosing among five approaches"
7966,"Gómez, F., Nussbaum, M., Weitz, J. F., Lopez, X., Mena, J., & Torres, A. (2013). Co-located single display collaborative learning for early childhood education. International Journal of Computer-Supported Collaborative Learning, 8(2), 225–244",import2017/101,"Gómez, F., Nussbaum, M., Weitz, J. F., Lopez, X., Mena, J., & Torres, A. (2013)",2013.0,"Gómez, F., Nussbaum, M., Weitz, J. F., Lopez, X., Mena, J., & Torres, A. (2013). Co-located single display collaborative learning for early childhood education"
7967,"Järvelä, S., Kirschner, P. A., Panadero, E., Malmberg, J., Phielix, C., Jaspers, J., ..., & Järvenoja, H. (2015). Enhancing socially shared regulation in collaborative learning groups: designing for CSCL regulation tools. Educational Technology Research and Development, 63(1), 125-142.",import2017/101,"Järvelä, S., Kirschner, P. A., Panadero, E., Malmberg, J., Phielix, C., Jaspers, J., ..., & Järvenoja, H. (2015)",2015.0,"Järvelä, S., Kirschner, P. A., Panadero, E., Malmberg, J., Phielix, C., Jaspers, J., ..., & Järvenoja, H. (2015). Enhancing socially shared regulation in collaborative learning groups: designing for CSCL regulation tools"
7968,"Jordan, B., & Henderson, A. (1995). Interaction analysis: Foundations and practice. Journal of the Learning Sciences, 4(1), 39–103.",import2017/101,"Jordan, B., & Henderson, A. (1995)",1995.0,"Jordan, B., & Henderson, A. (1995). Interaction analysis: Foundations and practice"
7969,"Jung, Y. J., Yan, S., & Borge, M. (2016). Problems with different interests of learners in an informal CSCL Setting. In C-K. Looi, J. Polman, U. Cress, & P. Reimann (Eds.), Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 2 (pp. 878881). Singapore: International Society of the Learning Sciences.",import2017/101,"Jung, Y. J., Yan, S., & Borge, M. (2016)",2016.0,"Jung, Y. J., Yan, S., & Borge, M. (2016). Problems with different interests of learners in an informal CSCL Setting"
7970,"Lave, J., & Wenger, E. (1991). Situated learning: Legitimate peripheral participation. New York, NY: Press Syndicate of the University of Cambridge.",import2017/101,"Lave, J., & Wenger, E. (1991)",1991.0,"Lave, J., & Wenger, E. (1991). Situated learning: Legitimate peripheral participation"
7971,"Schwarz, B. B., de Groot, R., Mavrikis, M., & Dragon, T. (2015). Learning to learn together with CSCL tools. International Journal of Computer-Supported Collaborative Learning, 10(3), 239–271.",import2017/101,"Schwarz, B. B., de Groot, R., Mavrikis, M., & Dragon, T. (2015)",2015.0,"Schwarz, B. B., de Groot, R., Mavrikis, M., & Dragon, T. (2015). Learning to learn together with CSCL tools"
7972,"Stahl, G. (2013). Theories of collaborative cognition: Foundations for CSCL and CSCW together. In S. P. Goggins, I. Jahnke, & V. Wulf (Eds.), Computer-Supported Collaborative Learning at the Workplace (pp. 43–63). Boston, MA: Springer US.",import2017/101,"Stahl, G. (2013)",2013.0,"Stahl, G. (2013). Theories of collaborative cognition: Foundations for CSCL and CSCW together"
7973,"Akkerman, S. F., & Bakker, A. (2011). Boundary crossing and boundary objects. Review of Educational Research, 81 (2), 132-169.",import2017/55,"Akkerman, S. F., & Bakker, A. (2011)",2011.0,"Akkerman, S. F., & Bakker, A. (2011). Boundary crossing and boundary objects"
7974,"Chi, M. T. H. (1997). Quantifying qualitative analysis of verbal data: A practical guide. Journal of the Learning Sciences, 6, 271-315.",import2017/55,"Chi, M. T. H. (1997)",1997.0,"Chi, M. T. H. (1997). Quantifying qualitative analysis of verbal data: A practical guide"
7975,"Csikszentmihalyi, M. (1999). Implications of a systems perspective for the study of creativity. In R. J. Sternberg (Ed.), Handbook of creativity (pp. 313-335). Cambridge, UK: Cambridge University Press.",import2017/55,"Csikszentmihalyi, M. (1999)",1999.0,"Csikszentmihalyi, M. (1999). Implications of a systems perspective for the study of creativity"
7976,"Laferriere, T., Law, N., & Montané, M. (2012). An international knowledge building network for sustainable curriculum and pedagogical innovation. International Education Studies, 5, 148-160.",import2017/55,"Laferriere, T., Law, N., & Montané, M. (2012)",2012.0,"Laferriere, T., Law, N., & Montané, M. (2012). An international knowledge building network for sustainable curriculum and pedagogical innovation"
7977,"Lai, M, & Law, N. (2006). Peer scaffolding of knowledge building through collaborative groups with differential learning experiences. Journal of Educational Computing Research, 35 (2), 123-144.",import2017/55,"Lai, M, & Law, N. (2006)",2006.0,"Lai, M, & Law, N. (2006). Peer scaffolding of knowledge building through collaborative groups with differential learning experiences"
7978,"Riel, M. (1994). Cross‐classroom collaboration in global Learning Circles. The Sociological Review, 42(S1), 219-242.",import2017/55,"Riel, M. (1994)",1994.0,"Riel, M. (1994). Cross‐classroom collaboration in global Learning Circles"
7979,"Scardamalia, M., & Bereiter, C. (2006). Knowledge building: Theory, pedagogy, and technology. In R. K. Sawyer (Ed.), Cambridge handbook of the learning sciences (pp. 97-115). New York: Cambridge University Press.",import2017/55,"Scardamalia, M., & Bereiter, C. (2006)",2006.0,"Scardamalia, M., & Bereiter, C. (2006). Knowledge building: Theory, pedagogy, and technology"
7980,"Stahl, G. (2013). Learning across levels. International Journal of Computer-Supported Collaborative Learning, 8(1), 1-12.",import2017/55,"Stahl, G. (2013)",2013.0,"Stahl, G. (2013). Learning across levels"
7981,"Stahl, G., Koschmann, T., & Suthers, D. (2006). Computer-supported collaborative learning: An historical perspective. In R. K. Sawyer (Ed.), Cambridge handbook of the learning sciences (pp. 409-426). New York: Cambridge University Press.",import2017/55,"Stahl, G., Koschmann, T., & Suthers, D. (2006)",2006.0,"Stahl, G., Koschmann, T., & Suthers, D. (2006). Computer-supported collaborative learning: An historical perspective"
7982,"Star, S. L., & Griesemer, J. R. (1989). Institutional ecology, “translations” and boundary objects: Amateurs and professionals in Berkeley’s Museum of Vertebrate Zoology, 1907–39. Social Studies of Science, 19, 387– 420.",import2017/55,"Star, S. L., & Griesemer, J. R. (1989)",1989.0,"Star, S. L., & Griesemer, J. R. (1989). Institutional ecology, “translations” and boundary objects: Amateurs and professionals in Berkeley’s Museum of Vertebrate Zoology, 1907–39"
7983,"Strauss, A., & Corbin, J. (1998). Basics of qualitative research: Techniques and procedures for developing grounded theory (2nd ed). Thousand Oaks, CA: Sage.",import2017/55,"Strauss, A., & Corbin, J. (1998)",1998.0,"Strauss, A., & Corbin, J. (1998). Basics of qualitative research: Techniques and procedures for developing grounded theory (2nd ed)"
7984,"Wenger, E. (1998). Communities of practice: Learning, meaning, and identity. Cambridge, England: Cambridge University Press.",import2017/55,"Wenger, E. (1998)",1998.0,"Wenger, E. (1998). Communities of practice: Learning, meaning, and identity"
7985,"Zhang, J., Chen, M.-H., Tao, D., Lee, J. Sun, Y., & Judson, D. (2015). Fostering sustained knowledge building through metadiscourse aided by the Idea Thread Mapper. In O. Lindwall & S. Ludvigsen (Eds.), Proceedings of the 11th International Conference on Computer Supported Collaborative Learning (Vol. 1, pp. 166-173). Gothenburg, Sweden: International Society of the Learning Sciences.",import2017/55,"Zhang, J., Chen, M.-H., Tao, D., Lee, J. Sun, Y., & Judson, D. (2015)",2015.0,"Zhang, J., Chen, M.-H., Tao, D., Lee, J. Sun, Y., & Judson, D. (2015). Fostering sustained knowledge building through metadiscourse aided by the Idea Thread Mapper"
7986,"Barron, B., & Bell, P. (2016). Learning environments in and out of school. In L. Corno & E. M. Anderman (Eds.), Handbook of Educational Psychology. Washington, DC: APA.",import2017/97,"Barron, B., & Bell, P. (2016)",2016.0,"Barron, B., & Bell, P. (2016). Learning environments in and out of school"
7987,"Brown, A. L., Ash, D., Rutherford, M., Nakagawa, K., Gordon, A. & Campione, J. C. (1993). Distributed expertise in the classroom. Teoksessa G. Salomon (toim.) Distributed cognitions: Psychological and educational considerations (pp. 188–228). Cambridge, UK: Cambridge University Press.",import2017/97,"Brown, A. L., Ash, D., Rutherford, M., Nakagawa, K., Gordon, A. & Campione, J. C. (1993)",1993.0,"Brown, A. L., Ash, D., Rutherford, M., Nakagawa, K., Gordon, A. & Campione, J. C. (1993). Distributed expertise in the classroom"
7988,"Cresswell, T. (1996). In Place/out of Place: Geography, Ideology, and Transgression. Minneapolis, MN: University of Minnesota Press.",import2017/97,"Cresswell, T. (1996)",1996.0,"Cresswell, T. (1996). In Place/out of Place: Geography, Ideology, and Transgression"
7989,"Cresswell, T. (2014). Place: An Introduction. John Wiley & Sons.",import2017/97,"Cresswell, T. (2014)",2014.0,"Cresswell, T. (2014). Place: An Introduction"
7990,"Hutchins, E. (1995a). Cognition in the Wild. MIT press.",import2017/97,"Hutchins, E. (1995a)",1995.0,"Hutchins, E. (1995a). Cognition in the Wild"
7991,"Hutchins, E. (1995b). How a cockpit remembers its speeds. Cognitive science, 19(3), 265-288.",import2017/97,"Hutchins, E. (1995b)",1995.0,"Hutchins, E. (1995b). How a cockpit remembers its speeds"
7992,"Nasir, N. I. S., Rosebery, A. S., Warren, B., & Lee, C. D. (2006). Learning as a cultural process: Achieving equity through diversity. The Cambridge handbook of the learning sciences, 489-504.",import2017/97,"Nasir, N. I. S., Rosebery, A. S., Warren, B., & Lee, C. D. (2006)",2006.0,"Nasir, N. I. S., Rosebery, A. S., Warren, B., & Lee, C. D. (2006). Learning as a cultural process: Achieving equity through diversity"
7993,"Pea, R. (1993). Practices of distributed intelligence and designs for education. In G. Salomon (Ed.), Distributed cognitions: Psychological and educational considerations (pp. 47-87). New York: Cambridge University Press.",import2017/97,"Pea, R. (1993)",1993.0,"Pea, R. (1993). Practices of distributed intelligence and designs for education"
7994,"Rogoff, B. (2003). The cultural nature of human development. Oxford University Press.",import2017/97,"Rogoff, B. (2003)",2003.0,"Rogoff, B. (2003). The cultural nature of human development"
7995,"Stahl, G. (2004). Building collaborative knowing: Elements of a social theory of CSCL. In J. W. Strijbos, P. A. Kirschner, & R. L. Martens, (Eds.), What we know about CSCL and implementing it in higher education (pp. 53–86). Dordrecht, Netherlands: Kluwer.",import2017/97,"Stahl, G. (2004)",2004.0,"Stahl, G. (2004). Building collaborative knowing: Elements of a social theory of CSCL"
7996,"Stahl, G., & Hesse, F. (2009). Practice perspectives in CSCL. International Journal of Computer-Supported Collaborative Learning, 4(2), 109-114.",import2017/97,"Stahl, G., & Hesse, F. (2009)",2009.0,"Stahl, G., & Hesse, F. (2009). Practice perspectives in CSCL"
7997,"Stahl, G., Koschmann, T., & Suthers, D. (2006). Computer-supported collaborative learning: An historical perspective. In R. K. Sawyer (Ed.), Cambridge handbook of the learning sciences (pp. 409–426). Cambridge, UK: Cambridge University Press.",import2017/97,"Stahl, G., Koschmann, T., & Suthers, D. (2006)",2006.0,"Stahl, G., Koschmann, T., & Suthers, D. (2006). Computer-supported collaborative learning: An historical perspective"
7998,"Stahl, G. (2012). Traversing planes of learning. International Journal of Computer-Supported Collaborative Learning, 7(4), 467-473.",import2017/97,"Stahl, G. (2012)",2012.0,"Stahl, G. (2012). Traversing planes of learning"
7999,"Tuan, Y. (1977). Space and place: The perspective of experience. Minneapolis, MN: University of Minnesota Press.",import2017/97,"Tuan, Y. (1977)",1977.0,"Tuan, Y. (1977). Space and place: The perspective of experience"
8000,"Akkerman, S. F., & Bakker, A. (2011). Boundary crossing and boundary objects. Review of Educational Research, 81(2), 132–169.",import2017/108,"Akkerman, S. F., & Bakker, A. (2011)",2011.0,"Akkerman, S. F., & Bakker, A. (2011). Boundary crossing and boundary objects"
8001,"Bang, M., & Vossoughi, S. (2016). Participatory Design Research and Educational Justice: Studying Learning and Relations Within Social Change Making. Cognition and Instruction, 34(3), 173–193.",import2017/108,"Bang, M., & Vossoughi, S. (2016)",2016.0,"Bang, M., & Vossoughi, S. (2016). Participatory Design Research and Educational Justice: Studying Learning and Relations Within Social Change Making"
8002,"Barron, B. (2006). Interest and self-sustained learning as catalysts of development: A learning ecology perspective. HUMAN DEVELOPMENT-BASEL-, 49(4), 193.",import2017/108,"Barron, B. (2006)",2006.0,"Barron, B. (2006). Interest and self-sustained learning as catalysts of development: A learning ecology perspective"
8003,"Collins, J. (2009). Social Reproduction in Classrooms and Schools. Annual Review of Anthropology, 38, 33–48.",import2017/108,"Collins, J. (2009)",2009.0,"Collins, J. (2009). Social Reproduction in Classrooms and Schools"
8004,"Craig Watkins, S. (2011). Digital divide: Navigating the digital edge.",import2017/108,"Craig Watkins, S. (2011)",2011.0,"Craig Watkins, S. (2011). Digital divide: Navigating the digital edge"
8005,"Delpit, L. D. (2006). Other people’s children: cultural conflict in the classroom. New York: New Press : Distributed by W.W. Norton.",import2017/108,"Delpit, L. D. (2006)",2006.0,"Delpit, L. D. (2006). Other people’s children: cultural conflict in the classroom"
8006,"Druin, A. (2002). The role of children in the design of new technology. Behaviour and Information Technology, 21(1), 1–25.",import2017/108,"Druin, A. (2002)",2002.0,"Druin, A. (2002). The role of children in the design of new technology"
8007,"Fishman, B. J., & Pinkard, N. (2001). Bringing urban schools into the information age: Planning for technology vs. technology planning. Journal of Educational Computing Research, 25(1), 63–80.",import2017/108,"Fishman, B. J., & Pinkard, N. (2001)",2001.0,"Fishman, B. J., & Pinkard, N. (2001). Bringing urban schools into the information age: Planning for technology vs"
8008,"Ito, M., Gutierrez, K., Livingstone, S., Penuel, B., Rhodes, J., Salen, K., … Watkins, S. C. (2013). Connected learning: An agenda for research and design. Digital Media and Learning Research Hub.",import2017/108,"Ito, M., Gutierrez, K., Livingstone, S., Penuel, B., Rhodes, J., Salen, K., … Watkins, S. C. (2013)",2013.0,"Ito, M., Gutierrez, K., Livingstone, S., Penuel, B., Rhodes, J., Salen, K., … Watkins, S. C. (2013). Connected learning: An agenda for research and design"
8009,"Ladson-Billings, G. (2006). From the Achievement Gap to the Education Debt: Understanding Achievement in U.S. Schools. Educational Researcher, 35(7), 3–12. https://doi.org/10.3102/0013189X035007003",import2017/108,"Ladson-Billings, G. (2006)",2006.0,"Ladson-Billings, G. (2006). From the Achievement Gap to the Education Debt: Understanding Achievement in U"
8010,"Le Dantec, C. A., & DiSalvo, C. (2013). Infrastructuring and the formation of publics in participatory design. Social Studies of Science, 43(2), 241–264.",import2017/108,"Le Dantec, C. A., & DiSalvo, C. (2013)",2013.0,"Le Dantec, C. A., & DiSalvo, C. (2013). Infrastructuring and the formation of publics in participatory design"
8011,"Nardi, B. A. (1996). Activity theory and human-computer interaction. Context and Consciousness: Activity Theory and Human–computer Interaction, 436, 7–16.",import2017/108,"Nardi, B. A. (1996)",1996.0,"Nardi, B. A. (1996). Activity theory and human-computer interaction"
8012,"Schwartz, L. H. (2015). A funds of knowledge approach to the appropriation of new media in a high school writing classroom. Interactive Learning Environments, 23(5), 595–612.",import2017/108,"Schwartz, L. H. (2015)",2015.0,"Schwartz, L. H. (2015). A funds of knowledge approach to the appropriation of new media in a high school writing classroom"
8013,"Warschauer, M., & Matuchniak, T. (2010). New Technology and Digital Worlds: Analyzing Evidence of Equity in Access, Use, and Outcomes. Review of Research in Education, 34(1), 179–225.",import2017/108,"Warschauer, M., & Matuchniak, T. (2010)",2010.0,"Warschauer, M., & Matuchniak, T. (2010). New Technology and Digital Worlds: Analyzing Evidence of Equity in Access, Use, and Outcomes"
8014,"Yosso *, T. J. (2005). Whose culture has capital? A critical race theory discussion of community cultural wealth. Race Ethnicity and Education, 8(1), 69–91. https://doi.org/10.1080/1361332052000341006",import2017/108,"Yosso *, T. J. (2005)",2005.0,"Yosso *, T. J. (2005). Whose culture has capital"
8015,"Antle, A.N. (2015) Scratching the surface: Opportunities and challenges from designing interactive tabletops for learning. In Learning Technologies and the Body: Integration and Implementation in Formal and Informal Learning Environments. NY: Routledge.",import2017/63,"Antle, A.N. (2015)",2015.0,"Antle, A.N. (2015) Scratching the surface: Opportunities and challenges from designing interactive tabletops for learning"
8016,"Antle, A.N., Tanenbaum, J., Macaranas, A. and Robinson, J. (2014) Games for change: Looking at models of persuasion through the lens of design. In Playful user interfaces: Interfaces that invite social and physical interaction (pp. 163-184). NY: Springer.",import2017/63,"Antle, A.N., Tanenbaum, J., Macaranas, A. and Robinson, J. (2014)",2014.0,"Antle, A.N., Tanenbaum, J., Macaranas, A. and Robinson, J. (2014) Games for change: Looking at models of persuasion through the lens of design"
8017,"Antle, A.N., Bevans, A., Tanenbaum, J., Seaborn K. and Wang, S. (2011). Futura: Design for collaborative learning and game play on a multi-touch digital tabletop. In Proceedings of TEI’11 (pp93-100). ACM.",import2017/63,"Antle, A.N., Bevans, A., Tanenbaum, J., Seaborn K. and Wang, S. (2011)",2011.0,"Antle, A.N., Bevans, A., Tanenbaum, J., Seaborn K. and Wang, S. (2011). Futura: Design for collaborative learning and game play on a multi-touch digital tabletop"
8018,"Antle, A.N. & Wise, A.F. (2013) Getting down to details: Using theories of cognition and learning to inform tangible user interface design, Interacting with Computers, 25(1), 1-20.",import2017/63,"Antle, A.N. & Wise, A.F. (2013)",2013.0,"Antle, A.N. & Wise, A.F. (2013) Getting down to details: Using theories of cognition and learning to inform tangible user interface design, Interacting with Computers, 25(1), 1-20"
8019,"Antle, A.N. et al. (2013). Youtopia: A collaborative, tangible, multi-touch, sustainability learning activity. In Proceedings of IDC 2013 (pp. 565-568). ACM.",import2017/63,"Antle, A.N. et al. (2013)",2013.0,"Antle, A.N. et al. (2013). Youtopia: A collaborative, tangible, multi-touch, sustainability learning activity"
8020,"Chi, M. T. H., & Menekse, M. (2015). Dialogue patterns that promote learning. In Socializing intelligence through academic talk and dialogue (pp. 263-274). Washington, DC: AERA Derry, S. et al., (2010). Conducting video research in the learning sciences: Guidance on selection, analysis, technology, and ethics. JLS, 19(1), 3-53.",import2017/63,"Chi, M. T. H., & Menekse, M. (2015)",2015.0,"Chi, M. T. H., & Menekse, M. (2015). Dialogue patterns that promote learning"
8021,"Dillenbourg, P., & Evans, M. (2011). Interactive tabletops in education. ijCSCL, 6(4), 491-514.",import2017/63,"Dillenbourg, P., & Evans, M. (2011)",2011.0,"Dillenbourg, P., & Evans, M. (2011). Interactive tabletops in education"
8022,"Fan, M., Antle, A. N., Neustaedter, C. & Wise, A. F. (2014). Exploring how a co-dependent tangible tool design supports collaboration in a tabletop activity. In Proceedings of GROUP 2014. (pp 81-90). ACM.",import2017/63,"Fan, M., Antle, A. N., Neustaedter, C. & Wise, A. F. (2014)",2014.0,"Fan, M., Antle, A. N., Neustaedter, C. & Wise, A. F. (2014). Exploring how a co-dependent tangible tool design supports collaboration in a tabletop activity"
8023,"Fernaeus, Y. & Tholander, J. (2006). Finding design qualities in a tangible programming space. In Proceedings of the Conference on Human Factors in Computing Systems (pp. 447–456). ACM.",import2017/63,"Fernaeus, Y. & Tholander, J. (2006)",2006.0,"Fernaeus, Y. & Tholander, J. (2006). Finding design qualities in a tangible programming space"
8024,"Fleck, R. et al. (2009). Actions speak loudly with words: Unpacking collaboration around the table. In Proceedings of ITS '09 (pp. 189-196). ACM.",import2017/63,"Fleck, R. et al. (2009)",2009.0,"Fleck, R. et al. (2009). Actions speak loudly with words: Unpacking collaboration around the table"
8025,"Gibson, W. J., & Brown, A. (2009). Working with qualitative data. London: Sage Publications.",import2017/63,"Gibson, W. J., & Brown, A. (2009)",2009.0,"Gibson, W. J., & Brown, A. (2009). Working with qualitative data"
8026,"Higgins, S. E., Mercier, E., Burd, E., & Hatch, A. (2011). Multi-touch tables and the relationship with collaborative classroom pedagogies: A synthetic review. ijCSCL, 6(4), 515-538.",import2017/63,"Higgins, S. E., Mercier, E., Burd, E., & Hatch, A. (2011)",2011.0,"Higgins, S. E., Mercier, E., Burd, E., & Hatch, A. (2011). Multi-touch tables and the relationship with collaborative classroom pedagogies: A synthetic review"
8027,"Marshall, P., Fleck, R., Harris, A., Rick, J., Hornecker, E., Rogers, Y., & Dalton, N. S. (2009). Fighting for control: Children's embodied interactions when using physical and digital representations. In Proceedings of the Conference on Human Factors in Computing Systems (pp. 2149-2152). ACM.",import2017/63,"Marshall, P., Fleck, R., Harris, A., Rick, J., Hornecker, E., Rogers, Y., & Dalton, N. S. (2009)",2009.0,"Marshall, P., Fleck, R., Harris, A., Rick, J., Hornecker, E., Rogers, Y., & Dalton, N. S. (2009). Fighting for control: Children's embodied interactions when using physical and digital representations"
8028,"Price, S., Rogers, Y., Stanton, D., & Smith, H. (2003). A new conceptual framework for CSCL. In Designing for change in networked learning environments (pp. 513-522). NY: Springer.",import2017/63,"Price, S., Rogers, Y., Stanton, D., & Smith, H. (2003)",2003.0,"Price, S., Rogers, Y., Stanton, D., & Smith, H. (2003). A new conceptual framework for CSCL"
8029,"Rick, J. et al. (2009). Children designing together on a multi-touch tabletop: An analysis of spatial orientation and user interactions. In Proceedings of IDC '09 (pp106-114). ACM.",import2017/63,"Rick, J. et al. (2009)",2009.0,"Rick, J. et al. (2009). Children designing together on a multi-touch tabletop: An analysis of spatial orientation and user interactions"
8030,"Speelpenning, T., Antle, A. N., Doering, T., & Van Den Hoven, E. (2011). Exploring how tangible tools enable collaboration in a multi-touch tabletop game. In HCI–INTERACT 2011 (pp. 605-621). Springer.",import2017/63,"Speelpenning, T., Antle, A. N., Doering, T., & Van Den Hoven, E. (2011)",2011.0,"Speelpenning, T., Antle, A. N., Doering, T., & Van Den Hoven, E. (2011). Exploring how tangible tools enable collaboration in a multi-touch tabletop game"
8031,"Teasley, S. (1997). Talking about reasoning: How important is the peer in peer collaboration? In Discourse, tools and reasoning: Essays on situated cognition (pp. 361–384). Berlin: Springer.",import2017/63,"Teasley, S. (1997)",1997.0,"Teasley, S. (1997). Talking about reasoning: How important is the peer in peer collaboration"
8032,"Ullmer, B. & Ishii, H. (2000). Emerging frameworks for tangible user interfaces. IBM Sys. Journal 39, 915–931.",import2017/63,"Ullmer, B. & Ishii, H. (2000)",2000.0,"Ullmer, B. & Ishii, H. (2000). Emerging frameworks for tangible user interfaces"
8033,"Weinberger, A., & Fischer, F. (2006). A framework to analyze argumentative knowledge construction in computer-supported collaborative learning. Computers & Education, 46(1), 71-95.",import2017/63,"Weinberger, A., & Fischer, F. (2006)",2006.0,"Weinberger, A., & Fischer, F. (2006). A framework to analyze argumentative knowledge construction in computer-supported collaborative learning"
8034,"Wise, A. F., Antle, A. N., Warren, J., May, A., Fan, M. & Macaranas, A. (2015). What kind of world do you want to live in?: Positive interdependence and collaborative processes in the land-use planning game ""Youtopia."" In Proceedings of CSCL 2015 (pp. 236-243). ISLS Wise, A. F., Saghafian, M. & Padmanabhan, P. (2012). Towards more precise design guidance: Specifying and testing the functions of assigned student roles in online discussions. ETR&D, 60(1), 55-82.",import2017/63,"Wise, A. F., Antle, A. N., Warren, J., May, A., Fan, M. & Macaranas, A. (2015)",2015.0,"Wise, A. F., Antle, A. N., Warren, J., May, A., Fan, M. & Macaranas, A. (2015). What kind of world do you want to live in"
8035,"Abeele, M. V., De Cock, R., & Roe, K. (2012). Blind faith in the web? Internet use and empowerment among visually and hearing impaired adults: A qualitative study of benefits and barriers. Communications 37(2): 129–151.",import2017/64,"Abeele, M. V., De Cock, R., & Roe, K. (2012)",2012.0,"Abeele, M. V., De Cock, R., & Roe, K. (2012). Blind faith in the web"
8036,"Barron, B. (2004). Learning ecologies for technological fluency: Gender and experience differences. Journal of Educational Computing Research, 31(1), 1-36.",import2017/64,"Barron, B. (2004)",2004.0,"Barron, B. (2004). Learning ecologies for technological fluency: Gender and experience differences"
8037,"Barron, B. & Kafai, Y. (2006). Clubs, homes, and online communities as contexts for engaging youth in technology fluency building activities. In Proceedings of ICLS ’06, pp. 1022-1028.",import2017/64,"Barron, B. & Kafai, Y. (2006)",2006.0,"Barron, B. & Kafai, Y. (2006). Clubs, homes, and online communities as contexts for engaging youth in technology fluency building activities"
8038,"Brown, A. (1992). Design experiments: Theoretical and methodological challenges in creating complex interventions in classroom settings. The Journal of Learning Sciences, 2(2), 141-178.",import2017/64,"Brown, A. (1992)",1992.0,"Brown, A. (1992). Design experiments: Theoretical and methodological challenges in creating complex interventions in classroom settings"
8039,"Cole, M. & Scribner, S. (1981). The Psychology of Literacy. Cambridge, MA: Harvard University Press.",import2017/64,"Cole, M. & Scribner, S. (1981)",1981.0,"Cole, M. & Scribner, S. (1981). The Psychology of Literacy"
8040,"Evans, M., Johri, A., Gasson, G., Cagiltay, K., Pal, J., & Sarkar, P. (2008). ICT4D and the Learning Sciences. In the Proceedings of International Conference of Learning Sciences 2008. Vol. 3, pp. 229-236.",import2017/64,"Evans, M., Johri, A., Gasson, G., Cagiltay, K., Pal, J., & Sarkar, P. (2008)",2008.0,"Evans, M., Johri, A., Gasson, G., Cagiltay, K., Pal, J., & Sarkar, P. (2008). ICT4D and the Learning Sciences"
8041,"Gerber, E. (2003). The benefits of and barriers to computer use for individuals who are visually impaired. Journal of Visual Impairment & Blindness, 97(0).",import2017/64,"Gerber, E. (2003)",2003.0,"Gerber, E. (2003). The benefits of and barriers to computer use for individuals who are visually impaired"
8042,"Hawkins, J., & Pea, R. D. (1987). Tools for bridging the cultures of everyday and scientific thinking. Journal for Research in Science Teaching, 24, 291-307.",import2017/64,"Hawkins, J., & Pea, R. D. (1987)",1987.0,"Hawkins, J., & Pea, R. D. (1987). Tools for bridging the cultures of everyday and scientific thinking"
8043,"Kane, S. K., Jayant, C., Wobbrock, J. O., & Ladner, R. E. (2009). Freedom to roam: a study of mobile device adoption and accessibility for people with visual and motor disabilities. In Proceedings of the 11th international ACM SIGACCESS conference on Computers and accessibility (pp. 115-122). ACM.",import2017/64,"Kane, S. K., Jayant, C., Wobbrock, J. O., & Ladner, R. E. (2009)",2009.0,"Kane, S. K., Jayant, C., Wobbrock, J. O., & Ladner, R. E. (2009). Freedom to roam: a study of mobile device adoption and accessibility for people with visual and motor disabilities"
8044,"Köhlmann, W. (2012, July). Identifying barriers to collaborative learning for the blind. International Conference on Computers for Handicapped Persons (pp. 84-91). Springer Berlin Heidelberg.",import2017/64,"Köhlmann, W. (2012, July)",2012.0,"Köhlmann, W. (2012, July). Identifying barriers to collaborative learning for the blind"
8045,"Kral, I., & Heath, S. B. (2013). The world with us: Sight and sound in the “cultural flows” of informal learning. An Indigenous Australian case. Learning, Culture and Social Interaction, 2(4), 227-237.",import2017/64,"Kral, I., & Heath, S. B. (2013)",2013.0,"Kral, I., & Heath, S. B. (2013). The world with us: Sight and sound in the “cultural flows” of informal learning"
8046,"Lave, J. (1987). Cognition in practice. New York, NY: Cambridge University Press.",import2017/64,"Lave, J. (1987)",1987.0,"Lave, J. (1987). Cognition in practice"
8047,"Lave, J. & Wenger, E. (1991). Situated Learning: Legitimate Peripheral Participation. New York, NY: Cambridge University Press.",import2017/64,"Lave, J. & Wenger, E. (1991)",1991.0,"Lave, J. & Wenger, E. (1991). Situated Learning: Legitimate Peripheral Participation"
8048,"Martin, L., Goldman, S., & Jimenez, O. (2009). The Tanda: A Practice at the Intersection of Mathematics, Culture, and Financial Goals. Mind, Culture & Activity, 16(4).",import2017/64,"Martin, L., Goldman, S., & Jimenez, O. (2009)",2009.0,"Martin, L., Goldman, S., & Jimenez, O. (2009). The Tanda: A Practice at the Intersection of Mathematics, Culture, and Financial Goals"
8049,"Oliveira, J., Guerreiro, T., Nicolau, H., Jorge, J., & Gonçalves, D. (2011). Blind people and mobile touch-based text-entry: acknowledging the need for different flavors. In The proceedings of the 13th international ACM SIGACCESS conference on Computers and accessibility (pp. 179-186). ACM.",import2017/64,"Oliveira, J., Guerreiro, T., Nicolau, H., Jorge, J., & Gonçalves, D. (2011)",2011.0,"Oliveira, J., Guerreiro, T., Nicolau, H., Jorge, J., & Gonçalves, D. (2011). Blind people and mobile touch-based text-entry: acknowledging the need for different flavors"
